date,pm25,aqi,aqi_lag_1,aqi_lag_3,aqi_change_rate,month,day_of_week,is_weekend
2024-11-16,107,204.26765015806112,300.0,196.89146469968387,-0.31910783280646293,11,5,1
2024-11-17,137,235.8798735511064,204.26765015806112,229.55742887249735,0.15475883415011604,11,6,1
2024-11-18,167,300.0,235.8798735511064,300.0,0.27183381728836276,11,0,0
2024-11-19,169,300.0,300.0,204.26765015806112,0.0,11,1,0
2024-11-20,167,300.0,300.0,235.8798735511064,0.0,11,2,0
2024-11-21,147,246.4172813487882,300.0,300.0,-0.17860906217070593,11,3,0
2024-11-22,101,197.94520547945206,246.4172813487882,300.0,-0.19670729099850337,11,4,0
2024-11-23,94,190.5690200210748,197.94520547945206,300.0,-0.037263774287995766,11,5,1
2024-11-24,109,206.37513171759747,190.5690200210748,246.4172813487882,0.08294166436273165,11,6,1
2024-11-25,156,300.0,206.37513171759747,197.94520547945206,0.45366351799846827,11,0,0
2024-11-26,130,228.5036880927292,300.0,190.5690200210748,-0.23832103969090268,11,1,0
2024-11-27,106,203.21390937829293,228.5036880927292,206.37513171759747,-0.11067558219967732,11,2,0
2024-11-28,119,216.91253951527924,203.21390937829293,300.0,0.06740990407052116,11,3,0
2024-11-29,121,219.0200210748156,216.91253951527924,228.5036880927292,0.00971581248481912,11,4,0
2025-01-06,174,300.0,219.0200210748156,203.21390937829293,0.36973779167668996,1,0,0
2025-01-07,151,300.0,300.0,216.91253951527924,0.0,1,1,0
2025-01-08,197,300.0,300.0,219.0200210748156,0.0,1,2,0
2025-01-09,206,300.0,300.0,300.0,0.0,1,3,0
2025-01-10,182,300.0,300.0,300.0,0.0,1,4,0
2025-01-11,179,300.0,300.0,300.0,0.0,1,5,1
2025-01-12,188,300.0,300.0,300.0,0.0,1,6,1
2025-01-13,174,300.0,300.0,300.0,0.0,1,0,0
2025-01-14,184,300.0,300.0,300.0,0.0,1,1,0
2025-01-15,180,300.0,300.0,300.0,0.0,1,2,0
2025-01-16,203,300.0,300.0,300.0,0.0,1,3,0
2025-01-17,163,300.0,300.0,300.0,0.0,1,4,0
2025-01-18,167,300.0,300.0,300.0,0.0,1,5,1
